0.03, 0.28, 0.40, 0.12, 0.03, 0.03, 0.01, 0.12, 0.25
0.06, 0.41, 0.65, 0.24, 0.06, 0.06, 0.04, 0.24, 0.34
0.09, 0.42, 0.85, 0.43, 0.09, 0.09, 0.07, 0.43, 0.50
0.12, 0.41, 0.97, 0.56, 0.12, 0.12, 0.10, 0.56, 0.62
0.15, 0.37, 1.05, 0.68, 0.15, 0.15, 0.13, 0.68, 0.74
0.18, 0.26, 1.12, 0.86, 0.18, 0.18, 0.16, 0.86, 0.85
0.21, 0.24, 1.08, 0.84, 0.21, 0.21, 0.19, 0.84, 0.97
0.24, 0.19, 1.07, 0.88, 0.24, 0.24, 0.22, 0.88, 1.07
0.30, 0.70, 1.81, 1.11, 0.25, 0, 0.25,0, 1.11
0.33, 0.61, 1.68, 1.07, 0.22, 0,0,0,0
0.36, 0.55, 1.52, 0.97, 0.19, 0,0,0,0
0.39, 0.49, 1.34, 0.85, 0.16,0,0,0,0
0.42, 0.42, 1.16, 0.74, 0.13,0,0,0,0
0.45, 0.34, 0.96, 0.62, 0.10,0,0,0,0
0.48, 0.25, 0.75, 0.50, 0.07,0,0,0,0
0.51, 0.16, 0.50, 0.34, 0.04,0,0,0,0
0.54, 0.04, 0.29, 0.25, 0.01,0,0,0,0
